company_id;ppk_id;timestamp;rt_akurasi;rt_layanan;rt_kirim;category;Sum;Rescalling
203186;PPK-000000168;26 Januari 2023 11:05:45;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
203186;PPK-000000168;26 Januari 2023 10:50:56;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
415153;PPK-000000168;26 Januari 2023 09:54:27;4;4;3;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;11;3
415153;PPK-000000168;26 Januari 2023 09:22:17;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
415153;PPK-000000168;26 Januari 2023 09:14:19;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
421280;PPK-000000587;22/11/22 14.13;4;3;3;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;10;2
421651;PPK-000000587;29/11/22 10.05;3;3;3;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;9;2
422932;PPK-000000587;16 Januari 2023 08:18:40;4;3;3;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;10;2
410007;PPK-000001084;2 Februari 2023 10:43:42;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
418049;PPK-000001084;13/09/23 14.11;4;4;4;Fasilitas Kesehatan Sektoral Kemenkes;12;4
66;PPK-000001110;31 Januari 2023 08:19:46;4;4;4;Internet Service Provider;12;4
150;PPK-000001110;31 Januari 2023 13:56:40;4;4;4;Kendaraan Bermotor;12;4
410011;PPK-000001110;31 Januari 2023 10:32:42;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
410017;PPK-000001110;31 Januari 2023 18:41:01;4;4;4;Peralatan Perkantoran;12;4
410024;PPK-000001110;24 Januari 2023 14:37:49;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
410418;PPK-000001110;24 Januari 2023 14:29:33;4;4;4;Peralatan Perkantoran;12;4
410418;PPK-000001110;24 Januari 2023 14:27:09;4;4;4;Peralatan Perkantoran;12;4
418252;PPK-000001110;12 Januari 2023 09:15:00;4;4;4;Peralatan Perkantoran;12;4
419132;PPK-000001110;31 Januari 2023 14:22:10;4;4;4;Perkakas;12;4
420805;PPK-000001110;31 Januari 2023 14:22:20;4;4;4;Konsolidasi Laptop PDN;12;4
421654;PPK-000001110;31 Januari 2023 13:56:17;4;4;4;Peralatan Perkantoran;12;4
432199;PPK-000001110;31 Januari 2023 08:58:00;4;4;4;Peralatan Perkantoran;12;4
432199;PPK-000001110;31 Januari 2023 08:32:26;4;4;4;Perkakas;12;4
432199;PPK-000001110;31 Januari 2023 08:27:16;4;4;4;Peralatan Perkantoran;12;4
150;PPK-000198305;31 Juli 2023 10:28:21;4;4;4;Kendaraan Bermotor;12;4
420742;PPK-000198305;31 Juli 2023 10:27:34;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
410007;PPK-000198475;7 Desember 2022 07:52:06;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
487608;PPK-000198475;28/11/22 07.33;4;4;4;Alat Tulis Kantor Kabupaten Badung;12;4
269615;PPK-000198500;14 Februari 2023 11:07:52;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
459135;PPK-000198500;13 Februari 2023 12:07:59;4;4;3;Peralatan Pendidikan;11;3
211757;PPK-000198684;29 Desember 2022 12:08:32;4;4;4;Sewa Kendaraan;12;4
205761;PPK-000198732;28 Desember 2022 09:59:36;4;4;4;Kendaraan Bermotor;12;4
205761;PPK-000198732;29 Juli 2022 14:09:28;4;4;4;Kendaraan Bermotor;12;4
205761;PPK-000198732;29 Juli 2022 14:08:12;4;4;4;Kendaraan Bermotor;12;4
422437;PPK-000198886;15/11/22 08.05;3;3;3;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;9;2
422437;PPK-000198886;15/11/22 08.05;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
420805;PPK-000199193;16 Desember 2022 08:41:31;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
203186;PPK-000199498;17 Januari 2023 13:00:28;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
203186;PPK-000199498;17 Januari 2023 12:50:00;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
203186;PPK-000199498;17 Januari 2023 12:47:13;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
269615;PPK-000199498;18 Juli 2023 09:08:42;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
269615;PPK-000199498;18 Juli 2023 09:03:01;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
269615;PPK-000199498;18 Juli 2023 08:56:37;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
269615;PPK-000199498;18 Juli 2023 08:48:24;4;4;4;Peralatan Elektronik Perkantoran dan Peralatan Pendukungnya;12;4
410007;PPK-000199498;26 Juni 2023 12:14:22;3;3;4;Belanja Media Pemerintah Daerah Kota Denpasar;10;2
410007;PPK-000199498;26 Juni 2023 08:42:09;3;3;4;Belanja Media Pemerintah Daerah Kota Denpasar;10;2
238665;PPK-000200757;26 Desember 2022 13:54:20;4;4;4;Perkakas;12;4
238665;PPK-000200757;26 Desember 2022 13:43:42;4;4;4;Perkakas;12;4
416729;PPK-000200757;26 Desember 2022 13:37:08;4;4;4;Alat Laboratorium;12;4
